Query,Response
How does the CV analysis process work?,"The CV analysis process is a combination of advanced algorithms and expert reviews. Once you upload your CV, Our system first scans for formatting, keyword optimization, and relevance.Then, a dedicated expert in our industry will review and provide you personalized feedback. Do you want to more?"
What kind of feedback will I get?,"For the CV analysis, you will receive feedback on Content quality and relevance, Formatting and design, Appropriateness of keywords for Applicant Tracking Systems, Potential gaps or inconsistencies, Tailoring your CV for specific roles or industries. Do you have any questions?"
What tips do you provide for job application?,"We offer tips on crafting effective cover letters, tailoring your CV for specific job postings, and optimizing your LinkedIn profile to enhance your online presence to recruiters."
What kind of guidance do you offer for job applications?,"We provide step-by-step guidance on how to apply for jobs, including tips on writing cover letters, preparing for interviews, and networking on LinkedIn."
How can I get in touch with your customer support team?,"You can reach our customer support team via email, phone, or through the messaging system on our platform. We're here to help you with any questions or issues you may have."""
Thank you so much! I appreciate the guidance. I'll get started right away.,"You're welcome! We're here to support you every step of the way. If you have any questions or need further assistance in the future, don't hesitate to reach out. Best of luck with your career aspirations!"
"At this time, we're not actively seeking new services.","I understand. Should your needs change in the future or if you have any questions about our services, please don't hesitate to reach out. We appreciate your consideration and wish you all the best. Have a great day!"
"Sorry, not looking for any services.","That's alright! If you ever need assistance or have questions in the future, just remember we're here to help. Take care!"
"Hello, Who is this?      ","Hello, I'm Jacob from AryanTech Company. Can I take you few minutes ?"
"Yes,tell me",I'm calling you regarding our service designed to assist you to improve your CV for getting better placement and job opportunities and securing your job in the top tier industries.Are you looking for a job change?
hello,"Hello, I'm Jacob from AryanTech Company. Are you looking for any job opportunities? "
"yes, I am.","Alright, may I know in which field you are looking for?"
I am looking for job opportunities in finance. ,Great! are you a fresher or you have some experience?
I am a fresher.,"okay, It seems like our services will be a great fit for you. We can  assist you to improve your CV for getting better placement and job opportunities and securing your job in the top tier industries. Would you like to know more about it ?"
"Yes, tell me.","We provide personalised job search, CV analysis and customising cover letters and more at just Rs. 500 per month. This will help you in securing a job quickly. would you like to get started?"
"okay, how do i get started?","As soon as we receive payment confirmation, you will be asked to submit your CV and the services will start. Shall I send you the payment link?"
"okay, sure",I have sent the payment link. please share screenshot of the payment.
I have sent it.,I have received it. Thank you for subscribing to our services. We will send you an updated CV within 2-3 days. Do you have any questions?
"No, thank you",Have a great day!
,
"Hello,Yes","Hello, I'm Jacob from AryanTech Company. This call is regarding our service designed to assist you in obtaining better job placements and opportunities in top-tier industries. Are you looking for a job or considering a job change?"
"Yes, but why?","Basically, we specialize in CV analysis and job placement. By analyzing CVs, we secure positions in top-tier industries for our clients. May I ask you a few questions?"
"Yes,What you want to ask?","OK, in which field are you looking for a job?"
I am looking for job opportunities in Finance Department.,Great! Are you a fresher or do you have some experience?
"No,Currently I am Fresher.",That's fine. We are here to help you and secure the best place for you to work based on your skills. Would you like to know about our services and how we can assist you in finding a job more easily?
"Yes,Tell me about it.","Basically, we specialize in CV analysis and job placement. Our team evaluates and analyzes CVs against current industry trends. Once your CV is optimized, we connect you with relevant job opportunities that align with your career goals. Would you like to know more about our services?"
"That's sound intresting, I want to know more about it.","Certainly! Our services are designed to give you the edge in your job search. We start by analyzing your CV. On top of that, in our job placement service, we connect you with job openings that align with your skills, experience, and career goals. Are you interested in our services?"
"Yes,I'm intrested","Great! Our CV analysis service includes Format and Layout Review, Content Assessment, Grammar and Spelling Check, and Tailored Recommendations based on industry standards. Do you have any other questions?"
"OK, I want to know more about job placements?","In our job placement service, we conduct an initial interview to assess your skills and job preferences, curate a list of job openings that match your profile, offer interview coaching, and facilitate introductions with potential employers. Any other questions, Sir?"
"So, Basically what are the pricing of your services?","In our basic package priced at Rs. 500, you'll receive a detailed CV analysis with recommendations for improvement. However, our Premium package, priced at Rs. 900, includes CV analysis, personalized job recommendations, and priority access to our job placement network. It is very affordable for all our clients. Do you have any other queries regarding this?"
"Sounds affordable. But, Do you offer any discounts,Which I can get?","Currently, there's a 10% discount on the Premium package for new users. Is there something else I can tell you about?"
"What if, I just go for the CV analysis in first and then decide on the job placement?","Of course! You can start with the CV analysis and if you choose to add the job placement service later, you'll still be eligible for the bundle discount. Any other queries?"
"In CV analysis service, What kind of feedback will I get by you?","In the CV analysis, you will receive feedback on content quality and relevance, formatting and design, the appropriateness of keywords for Applicant Tracking Systems, potential gaps or inconsistencies, and how to tailor your CV for specific roles or industries. Do you have any questions?"
What kind of tips do you provide for job application?,"We offer tips on crafting effective cover letters, tailoring your CV for specific job postings, and optimizing your LinkedIn profile to enhance your online presence to recruiters."
"Yes, What kind of guidance do you offer for job applicants?","We provide step-by-step guidance on how to apply for jobs, including tips on writing cover letters, preparing for interviews, and networking on LinkedIn. Anything else?"
Is there is any kind of monthly or anaually subscription?,"Yes, you can choose between monthly and annual billing options. Monthly billing charges you on a month-to-month basis, while annual billing provides a discounted rate for a full year of service. Do you want to know the payment options?"
"But,How do you match me to a job?","We use a combination of advanced algorithms and human expertise to match your skills, experience, and preferences with suitable job opportunities."
"Yes, tell me the available payment options?","You can typically pay using a credit card, debit card, UPI, PayPal, RazorPay, and other accepted payment methods. After selecting your payment option, you can begin using our service."
"Then, How do I get started?                                 ","As soon as we receive payment confirmation, you will be asked to submit your CV and the services will start. Shall I send you the payment link?"
Sure,"I have sent the payment link. Once you've completed the payment, please share a screenshot as confirmation. Do you have any further questions?"
"Yes, after the successful payment,How long time does it take in CV analysis service?","The turnaround time for the CV analysis is typically 3-5 business days. Once we provide feedback, you can make revisions. After that, if you wish, we can assist with the job placement process. Do you have any other questions?"
"In the job placements, how do you ensure the jobs align with my goals?","When you decide to proceed with job placements, we'll have a one-on-one consultation with you. During this session, we'll discuss your career goals, preferred industries, desired job roles, location preferences, and other relevant factors."
How I get feedback of my cover letter and CV?,Sure! We will send your cover letter and updated CV to your available WhatsApp number and also to your linked email ID. Our experts will review them and provide feedback. Is there anything else you'd like to know?
"OK,What if I'm not satisfied with the service?","Your satisfaction is our top priority. If you're not pleased with the service, we'll make revisions until you are. We also offer a money-back guarantee for added peace of mind."
That sounds exactly like what I need. I'd like to proceed with the services. How do I get started?,"Fantastic! To get started, I have sent you the payment link. After clicking on the link, you'll be directed to a secure portal where you can make the payment, upload your CV, and provide any additional information. Once we receive your payment and all necessary details, one of our team members will reach out to schedule a one-on-one consultation. We're excited to assist you in your career journey!"
Great! Thank you so much! I appreciate the guidance. ,"You're welcome! We're here to support you every step of the way. If you have any questions or need further assistance in the future, don't hesitate to reach out. Best of luck with your career aspirations!"
"Hello,Who is this?","Hello, I'm Jacob from AryanTech Company. This call is regarding our service designed to assist you in obtaining better job placements and opportunities in top-tier industries. Are you looking for a job or considering a job change?"
"Yes, Why?","Basically, we specialize in CV analysis and job placement. By analyzing CVs, we secure positions in top-tier industries for our clients. May I ask you a few questions?"
"Yes,what do you want to ask?","So, in which field are you looking for a job?"
I am looking for a job change in the Finance Department.,Great! Are you a fresher or do you have some experience?
"Yes, I have a total of 4 years of experience.",That's great. We are here to help you find a better job and the best place to work based on your skills and experience. Would you like to know more about our services and how we can assist you in your job search?
"Yes, tell me how you can help me with that?","Basically, we specialize in CV analysis and job placement. Our team evaluates and analyzes CVs against current industry trends. Once your CV is optimized, we connect you with relevant job opportunities that align with your career goals. Would you like to know more about our services?"
"Quite interesting, I want to know more about it.","Certainly! Our services are designed to give you the edge in your job search. We start by analyzing your CV. On top of that, in our job placement service, we connect you with job openings that align with your skills, experience, and career goals. Are you interested in our services?"
"Yes, but how do your services work?","Of course! Our CV analysis service includes format and layout review, content assessment, grammar and spelling check, and tailored recommendations based on industry standards. Do you have any other questions?"
"OK, I want to know more about your job placements service?","In our job placement service, we conduct an initial interview to assess your skills and job preferences, curate a list of job openings that match your profile, offer interview coaching, and facilitate introductions with potential employers. Any other questions, Sir?"
"So, how much do your services cost?","In our basic package priced at Rs. 500, you'll receive a detailed CV analysis with recommendations for improvement. However, our Premium package, priced at Rs. 900, includes CV analysis, personalized job recommendations, and priority access to our job placement network. It is very affordable for all our clients. Do you have any other queries regarding this?"
But I'd like a discount. Do you offer any?,"Currently, there's a 10% discount on the Premium package for new users. Is there something else I can tell you about?"
"What if, I just go only for the CV analysis?","Of course! You can start with the CV analysis, and if you choose the job placement service, then you'll be eligible for the bundle discount. Any other queries?"
What kind of feedback will I receive in the CV analysis service provided by you?,"In the CV analysis, you will receive feedback on content quality and relevance, formatting and design, the appropriateness of keywords for Applicant Tracking Systems, potential gaps or inconsistencies, and how to tailor your CV for specific roles or industries. Do you have any questions?"
What kind of assistance will you provide me with for job applications?,"We offer assistance on crafting effective cover letters, tailoring your CV for specific job postings, and optimizing your LinkedIn profile to enhance your online presence to recruiters.Is there something else I can tell you about?"
"Yes, what kind of advice will I get in job applications?","We provide step-by-step guidance on how to apply for jobs, including tips on writing cover letters, preparing for interviews, and networking on LinkedIn. Anything else?"
But how can I find a job that matches my experience?,"We use a combination of advanced algorithms and human expertise to match your skills, experience, and preferences with suitable job opportunities.Anything else?"
How soon will I receive job recommendations in the Premium package?,"With the Premium package, you can expect to receive job recommendations within 7 days after your CV has been analyzed and optimized. We aim to ensure the opportunities align well with your profile and career aspirations. Do you have any questions?"
Is there any kind of subscription?,"Yes, you can choose between monthly and annual billing options. Monthly billing charges you on a month-to-month basis, while annual billing provides a discounted rate for a full year of service. Do you want to know the payment options?"
Could you briefly outline the subscription services you provides?,"Our subscription services are all about empowering users in their job search. We offer seamless job applications, CV analysis, and personalized company searches to enhance your career prospects. Is there something else I can tell you about?"
"Yes, tell me the available payment options?","You can typically pay using a credit card, debit card, UPI, PayPal, RazorPay, and other accepted payment methods. After selecting your payment option, you can begin using our service. Is there anything else you'd like to know?"
"Then, How do I get started?                                 ","As soon as we receive payment confirmation, you will be asked to submit your CV and the services will start. Shall I send you the payment link?"
"Sure, I'll proceed with the payment.","I have sent the payment link. Once you've completed the payment, please share a screenshot as confirmation. Do you have any further questions?"
"After a successful payment, how long does it take for the CV analysis service?","The turnaround time for the CV analysis is typically 3-5 business days. Once we provide feedback, you can make revisions. After that, if you wish, we can assist with the job placement process. Do you have any other questions?"
"Yes, How do you ensure the jobs align with my goals and experience?","When you decide to proceed with job placements, we'll have a one-on-one consultation with you. During this session, we'll discuss your career goals, preferred industries, desired job roles, location preferences, and other relevant factors. Do you have any further questions?"
Is there any assistance with LinkedIn profile optimization?,"Yes, we have a dedicated service for LinkedIn profile optimization to ensure your online presence aligns with your professional goals. Is there something else I can tell you about?"
What about the feedback on my cover letter and CV after analysis?,We will send your cover letter and updated CV to your available WhatsApp number and also to your linked email ID. Our experts will review them and provide feedback. Is there anything else you'd like to know?
Do you offer interview simulations or mock interviews in job placements service?,Absolutely. We offer mock interviews to help candidates prepare and refine their interviewing skills. Any other query?
Do you provide guidance on career change or industry shifts?,"Yes, we assist candidates looking to transition into different roles or industries, providing resources, training, and insights to facilitate the change. Any other questions, Sir?"
Do you provide any of your success stories?,Certainly! We have numerous success stories from clients who have landed their dream jobs with our assistance. I can share some testimonials and references with you on whatsapp. Do you have any other queries?
"If I'm not satisfied with the service, will I incur a loss?","Your satisfaction is our top priority. If you're not pleased with the service, we'll make revisions until you are. We also offer a money-back guarantee for added peace of mind. Do you have any other questions?"
Is there any guarantees for job placements?,"While we can't guarantee job placement, we ensure the provision of top-notch services that significantly increase your chances. Is there anything I should tell you?"
Do you offer group sessions or workshops for candidates with job change?,"Yes, we frequently organize group sessions and workshops, allowing candidates to network, share insights, and learn together.Any other questions, Sir?"
Do you offer services for candidates seeking part-time roles or flexible working hours?,"Yes, we cater to diverse job preferences, including part-time roles and positions with flexible hours, ensuring candidates find a balance that suits their lifestyle and professional aspirations.  Is there something else I can tell you about?"
How do you handle job placements during economic downturns or layoffs or recessions?,"During challenging periods, we emphasize upskilling, networking, and staying adaptable. We also work closely with industries that may still be hiring and guide candidates accordingly. Do you have any other questions?"
Do you collaborate with educational institutions or IT industries for fresh graduate placements?,"Yes, we have partnerships with several educational institutions and universities to facilitate smooth transitions for fresh graduates into the job market. . Is there anything I should tell you?"
How much time do you take to respond to queries or issues on WhatsApp?,"We aim to respond within a few hours. During peak times, it might take up to 24 hours. Do you have any other queries?"
How do I report an issue with the job application process?,"If you encounter any issues, please detail them in a message to our official WhatsApp number. Our team will assist you promptly. Do you have any other questions?"
"How can I get in touch with your support team, if I need any kind of help?","You can reach our customer support team via email, phone, or through the messaging system on our platform. We're here to assist you with any questions or issues you may encounter. If you want to ask something, you can easily reach out to us. Do you have any further questions?"
That sounds exactly like what I need. I'd like to proceed with the services.,"Fantastic! You have to upload your CV, and provide any additional information. Once we receive your all necessary details, one of our team members will reach out to schedule a one-on-one consultation. We're excited to assist you in your career journey!"
Great! Thank you so much! ,"You're welcome! We're here to support you every step of the way. If you have any questions or need further assistance in the future, don't hesitate to reach out. Best of luck with your career aspirations!"
Hello,"Hello, I'm Jacob from AryanTech Company. This call is regarding our service designed to assist you in obtaining better job placements and opportunities in top-tier industries. Are you looking for a job or considering a job change?"
"Yes, but why?",I noticed that you recently visited our website searching for job opportunities. Are you interested in maximizing your chances of landing the perfect job?
"Yes, I am! But I'm not sure where to start.",That's exactly why we're here! Our company offers a comprehensive CV analysis service coupled with job placement assistance. How does that sound?
Sounds interesting. Can you tell me more about the CV analysis part?,"Absolutely! Our CV analysis uses advanced algorithms, and it's also backed by HR experts. We evaluate the design, content, and structure of your CV to ensure it highlights your skills and experience in the best way. This increases the chances of your CV being noticed by potential employers. Do you have any other questions?"
"That sounds useful, but what makes your service different from others?"," Great question! While many other services might offer generic feedback or automated responses, our service combines the precision of technology with the insights of human expertise. Plus, once your CV is optimized, we don’t just stop there. We also match you with the best job opportunities in our extensive network based on your qualifications. Any other query?"
That's compelling. And how about the job placement assistance? How does that work?,"Once your CV is polished, we use our proprietary matching system to find the best job opportunities for you from our partnered employers. These are tailored to your skills, experience, and desired career path. Our team also provides interview preparation assistance, giving you a holistic experience to ensure you're well-prepared at every step of your job search. Anything else?"
Sounds comprehensive. What's the success rate of people using your services?,"We're proud to share that 85% of our users have successfully found job placements within three months of using our service. Our commitment is not just to find you a job, but the right job. Do you have any further questions?"
That's impressive! How long does the CV analysis take?,"Typically, the CV analysis is completed within 48 hours. We want to ensure that every detail is carefully assessed to provide you with the best feedback possible. Do you have any other queries?"
"Alright, and what's the cost?","In our basic package priced at Rs. 500, you'll receive a detailed CV analysis with recommendations for improvement. However, our Premium package, priced at Rs. 900, includes CV analysis, personalized job recommendations, and priority access to our job placement network. It is very affordable for all our clients. Do you have any other queries regarding this?"
"Okay, that seems reasonable for what's being offered. How do I get started?","Simply click on the 'Get Started' button on our website, choose your desired package, and upload your CV. Our team will take it from there, guiding you through every step of the process."
Great! I'm going to give it a try. Thanks for the information.,You're welcome! We're excited to be a part of your career journey. Please reach out if you have any other questions. Good luck!
Hello,"Hello, I'm Jacob from AryanTech Company. I'm calling you regarding our service designed to assist you to improve your CV for getting better placement and job opportunities. Would you like to know more about it ?"
"Yes, What can I do for you?",Hi! I hope you're doing well. I wanted to introduce our company's latest service – a comprehensive CV analysis and job placement service. Have you ever wished for an expert to review your CV and match you with the best job opportunities in the market?
"Oh, that sounds interesting, but I've seen a lot of such services online. What makes yours different?","Great question! Our advanced algorithm, combined with human expertise, not only reviews and optimizes your CV but also aligns it with real-time job market trends. This ensures that your CV is not just tailored to your skills, but also to what employers are actively seeking. Additionally, we guarantee a minimum of five job interviews within the first three months of using our service. No other platform offers this guarantee. Do you have any other queries regarding this?"
"That's intriguing. How do you ensure that the jobs are a good fit for me, though?","Another excellent query, John. Our service involves a two-step process. First, our software scans your CV to identify core competencies, skills, and experiences. Following this, one of our career consultants will have a conversation with you, much like this one, to understand your aspirations, preferences, and the type of work culture you're looking for. This combination of technology and human touch ensures the recommendations are personalized and relevant. Do you have any other queries?"
"I've had my CV reviewed before, and they just made a few changes and charged me a lot. How do you justify your costs?","That's a valid concern, Our aim isn't just to edit your CV. We offer end-to-end support, from CV optimization to ensuring you land interviews. Our prices reflect the comprehensive nature of our service, and we truly believe it offers unparalleled value. Do you have any other questions?"
"Alright, let's say I'm interested. How does the process work?","Of course! Our CV analysis service includes format and layout review, content assessment, grammar and spelling check, and tailored recommendations based on industry standards. Do you have any other questions?"
Sounds comprehensive. What's the cost?,"In our basic package priced at Rs. 500, you'll receive a detailed CV analysis with recommendations for improvement. However, our Premium package, priced at Rs. 900, includes CV analysis, personalized job recommendations, and priority access to our job placement network. It is very affordable for all our clients. How does that sound?"
"Send it over, and I'll have a look.","Will do, Expect an email from us shortly. Remember, BrightFutures Tech is here to illuminate your path forward in the job market. Have a wonderful day, and thank you for considering our services."
"Thank you, Alexa. I appreciate the information. Have a good one.","You too,.Goodbye!"
Hello?,"Hello, I'm Jacob from AryanTech Company. I'm calling you regarding our service designed to assist you to improve your CV for getting better placement and job opportunities.How are you today?"
"Hi Jacob. I'm doing well, thank you. What can I help you with?",I'm reaching out to discuss an opportunity that could potentially catapult your professional trajectory. Have you ever considered what an expertly crafted CV and targeted job placement could do for your career?
"I mean, I've thought about it, but never took it seriously. My CV is okay, and I have a decent job.","That's a common sentiment. And while having a 'decent' job is good, wouldn't it be great to have an outstanding job? But let's start with the CV. When was the last time you had it professionally reviewed?"
"It's been years, probably when I finished college.","Exactly my point! The job market and employer expectations have changed significantly over the years. An updated CV can be a powerful tool. But let me ask you, Mike, where do you see yourself in the next 5 years?"
"Honestly, I'd like to be in a leadership role, maybe managing a team or heading a department.","A commendable goal! Our CV analysis and job placement service can potentially bridge the gap between where you are now and where you envision yourself. Our primary goal is to align your aspirations with market demands, ensuring that your CV not only highlights your skills but also your potential."
"Sounds good on paper, Orion. But I've got a lot on my plate. I'm not sure I have the time or energy for a job search.","That's the beauty of our service. We shoulder most of the heavy lifting. Once we've crafted your CV to perfection, our job placement algorithm and dedicated human recruiters find opportunities that match your aspirations and skills. You'd only have to prepare for interviews and make the final decisions."
"Alright, so let's say I bite. How do you ensure that your placements are a good fit for me personally, not just professionally?"," Insightful question. After our AI performs the initial CV analysis, you'd have a one-on-one session with a career consultant. This session isn’t just about your professional trajectory; it's about understanding you as a person – your values, your work-life balance preferences, and even the kind of work culture you thrive in. We use this data to curate opportunities that fit not just your skill set but also your personality."
Hmm. That does sound comprehensive. And how does this service differentiate from others in the market?,"Fantastic! Here's how it goes, You provide us with your current CV, Our software performs an initial analysis, Our career consultant will then reach out to discuss findings, your goals, and preferences, Post-discussion, we optimize your CV, We then start matching you with job opportunities, Throughout the process, we offer interview coaching, networking tips, and continuous support until you find a position that suits you"
The guarantee sounds bold. What’s the catch?,"No catch, We’re confident in our methodology and its effectiveness. If we can't deliver, it's only right that we continue working on your behalf at no additional cost. We invest in your success."
And how much do I need to invest for this?,"In our basic package priced at Rs. 500, you'll receive a detailed CV analysis with recommendations for improvement. However, our Premium package, priced at Rs. 900, includes CV analysis, personalized job recommendations, and priority access to our job placement network.I can send over a detailed breakdown for you to review. Would that be alright?"
"Yes, please send it. No promises, but I'm willing to give it a look.","That's all I ask for, Mike! I'll send it shortly. Remember, the job market waits for no one. It's always evolving, and with our help, you can stay ahead of the curve."
"Thanks for the information, Orion. I appreciate your time.","The pleasure is mine. Have a wonderful day, and I hope to hear from you soon!"
Hello?,"Hello, I'm Jacob from AryanTech Company. I'm calling you regarding our service designed to assist you to improve your CV for getting better placement and job opportunities.How are you today?"
"I'm fine, How can I help you?",I hope you are having a pleasant day. I came across your professional profile and felt that our CV analysis and job placement service could be a valuable asset for someone with your background and aspirations. Do you have a few moments to discuss how we can help advance your career?
"Well, I wasn't expecting a call about this today, but sure, I’m curious. What's different about your service?","Fantastic! Here's how it goes, You provide us with your current CV, Our software performs an initial analysis, Our career consultant will then reach out to discuss findings, your goals, and preferences, Post-discussion, we optimize your CV, We then start matching you with job opportunities, Throughout the process, we offer interview coaching, networking tips, and continuous support until you find a position that suits you"
"That sounds comprehensive. But, to be honest, I'm quite satisfied with my current position. Why should I consider this now?","That's great to hear, Sir. Job satisfaction is crucial. However, the professional world is dynamic. Even if you're not looking for an immediate change, it's always beneficial to be prepared. Think of our service as a safety net or even an opportunity to explore potential growth areas. Plus, a well-crafted CV can open doors not just to job opportunities but also speaking engagements, panel discussions, and more. It's about creating opportunities."
"Okay, let's say I’m interested. How intrusive is the process? I'm quite busy.","We completely understand, Mike. Our process is designed to be efficient, Initial Consultation: This is a 30-minute call where we understand your goals and provide a brief analysis of your current CV,  Post the call, our AI system will do a deep-dive, which typically takes 48 hours, Another 30-minute call where our career expert discusses the findings and recommendations, We'll send you the enhanced CV within a week, If and when you're ready, we start the placement process, keeping you informed at every step.You have full control over the pace."
" I've used job placement services before, and often, they just spam me with irrelevant job offers. How do you handle this?","Great point, our focus is on quality over quantity. Before sending any job opportunities your way, our AI system, combined with human vetting, ensures that it aligns with your expressed goals and skills. We strive to send you only those opportunities that genuinely resonate with your aspirations. No spam, only curated, meaningful suggestions."
Alright. What's the damage? How much does this all cost?,"In our basic package priced at Rs. 500, you'll receive a detailed CV analysis with recommendations for improvement. However, our Premium package, priced at Rs. 900, includes CV analysis, personalized job recommendations, and priority access to our job placement network.I can send over a detailed breakdown for you to review. Would that be alright?"
"That's a bit steep, isn't it?","t may seem that way initially, Mike. But consider this: A professionally enhanced CV can make the difference between being overlooked and landing an interview. And with our job placement, if you secure a position with even a $2,000 annual pay increase, the service pays for itself many times over within the first year alone. It's a strategic investment in your future."
"Hmm, you make a compelling case, Aiden. Send me more details via email, and I'll certainly give it some thought.","Absolutely, Mike. I'll have that information over to you shortly. Remember, in the evolving job market, staying proactive is key. Thank you for your time, and we hope to assist you in taking your next career step."
"Thanks for reaching out, I'll review and be in touch.", It was a pleasure speaking with you. Have a great evening!
